name,datetime
polas,52:22.6
polas,52:23.0
polas,52:23.3
polas,52:23.7
polas,52:24.1
polas,52:24.5
polas,52:24.8
polas,52:25.2
polas,52:25.6
polas,52:25.9
polas,52:26.3
polas,52:26.7
polas,52:27.1
polas,52:29.2
polas,52:29.6
polas,52:30.1
polas,2022-10-12 15:00:14.621605
polas,2022-10-12 15:00:15.018605
polas,2022-10-12 15:00:15.402605
polas,2022-10-12 15:00:15.790606
polas,2022-10-12 15:00:16.905606
polas,2022-10-12 15:00:17.301605
polas,2022-10-12 15:00:18.496694
polas,2022-10-12 15:00:18.908333
polas,2022-10-12 15:00:19.313370
polas,2022-10-12 15:00:19.717374
polas,2022-10-12 15:00:20.107107
polas,2022-10-12 15:00:20.501106
polas,2022-10-12 15:00:20.901149
polas,2022-10-12 15:00:21.293148
polas,2022-10-12 15:00:21.693149
polas,2022-10-12 15:00:22.243204
polas,2022-10-12 16:36:08.536966
polas,2022-10-12 16:36:08.987966
polas,2022-10-12 16:36:09.419026
polas,2022-10-12 16:36:09.848177
polas,2022-10-12 16:36:10.276215
polas,2022-10-12 16:36:10.717263
polas,2022-10-12 16:36:11.094266
polas,2022-10-12 16:36:11.474262
polas,2022-10-12 16:36:12.129319
